date,hometeam,awayteam,homegoals,awaygoals,ghost
2020-05-24,Mainz,RB Leipzig,0,5,1
2020-05-24,FC Koln,Fortuna Dusseldorf,2,2,1
2020-05-26,Werder Bremen,M'gladbach,0,0,1
2020-05-26,Leverkusen,Wolfsburg,1,4,1
2020-05-26,Dortmund,Bayern Munich,0,1,1
2020-05-26,Ein Frankfurt,Freiburg,3,3,1
2020-05-27,Union Berlin,Mainz,1,1,1
2020-05-27,Hoffenheim,FC Koln,3,1,1
2020-05-27,RB Leipzig,Hertha,2,2,1
2020-05-27,Augsburg,Paderborn,0,0,1
2020-05-27,Fortuna Dusseldorf,Schalke 04,2,1,1
2020-05-29,Freiburg,Leverkusen,0,1,1
2020-05-30,Hertha,Augsburg,2,0,1
2020-05-30,Mainz,Hoffenheim,0,1,1
2020-05-30,Schalke 04,Werder Bremen,0,1,1
2020-05-30,Wolfsburg,Ein Frankfurt,1,2,1
2020-05-30,Bayern Munich,Fortuna Dusseldorf,5,0,1
2020-05-31,M'gladbach,Union Berlin,4,1,1
2020-05-31,Paderborn,Dortmund,1,6,1
2020-06-01,FC Koln,RB Leipzig,2,4,1
2020-06-03,Werder Bremen,Ein Frankfurt,0,3,1
2020-06-05,Freiburg,M'gladbach,1,0,1
2020-06-06,Fortuna Dusseldorf,Hoffenheim,2,2,1
2020-06-06,Dortmund,Hertha,1,0,1
2020-06-06,RB Leipzig,Paderborn,1,1,1
2020-06-06,Ein Frankfurt,Mainz,0,2,1
2020-06-06,Leverkusen,Bayern Munich,2,4,1
2020-06-07,Werder Bremen,Wolfsburg,0,1,1
2020-06-07,Union Berlin,Schalke 04,1,1,1
2020-06-07,Augsburg,FC Koln,1,1,1
2020-06-12,Hoffenheim,RB Leipzig,0,2,1
2020-06-13,FC Koln,Union Berlin,1,2,1
2020-06-13,Fortuna Dusseldorf,Dortmund,0,1,1
2020-06-13,Hertha,Ein Frankfurt,1,4,1
2020-06-13,Paderborn,Werder Bremen,1,5,1
2020-06-13,Wolfsburg,Freiburg,2,2,1
2020-06-13,Bayern Munich,M'gladbach,2,1,1
2020-06-14,Schalke 04,Leverkusen,1,1,1
2020-06-14,Mainz,Augsburg,0,1,1
2020-06-16,Werder Bremen,Bayern Munich,0,1,1
2020-06-16,Union Berlin,Paderborn,1,0,1
2020-06-16,M'gladbach,Wolfsburg,3,0,1
2020-06-16,Freiburg,Hertha,2,1,1
2020-06-17,Ein Frankfurt,Schalke 04,2,1,1
2020-06-17,Augsburg,Hoffenheim,1,3,1
2020-06-17,Dortmund,Mainz,0,2,1
